title,link,word_count,date,author,comments_count,notes
More Reps vs. More Difficulty - A Grip Based Example,http://rosstraining.com/blog/2015/07/12/more-reps-vs-more-difficulty-a-grip-based-example/,631,"July 12th, 2015",Ross,13,
Listen and Learn From Successful Athletes,http://rosstraining.com/blog/2015/07/20/listen-and-learn-from-successful-athletes/,938,"July 20th, 2015",Ross,5,
Fatherhood Does NOT Make You Fat,http://rosstraining.com/blog/2015/07/27/fatherhood-does-not-make-you-fat/,1100,"July 27th, 2015",Ross,29,
Training Tips For Busy People,http://rosstraining.com/blog/2015/08/04/training-tips-for-busy-people/,1548,"August 4th, 2015",Ross,36,
Inspiration and Wisdom from Lew Hollander,http://rosstraining.com/blog/2015/06/08/inspiration-and-wisdom-from-lew-hollander/,572,"June 8th, 2015",Ross,9,
Movement is a Goal,http://rosstraining.com/blog/2015/06/24/movement-is-a-goal/,1069,"June 24th, 2015",Ross,8,
The Key To Success? Grit,http://rosstraining.com/blog/2015/06/26/the-key-to-success-grit/,672,"June 26th, 2015",Ross,6,
Freedom Brothers - Outwork Workout Motivation,http://rosstraining.com/blog/2015/07/02/freedom-brothers-outwork-workout-motivation/,565,"July 2nd, 2015",Ross,7,
"Get It In Anywhere - Anthony ""iNatural"" Alderman",http://rosstraining.com/blog/2015/07/03/anthony_inatural_alderman/,500,"July 3rd, 2015",Ross,14,
Warming Up With Juggling For Hand-Eye Coordination,http://rosstraining.com/blog/2015/05/05/warming-up-with-juggling-for-hand-eye-coordination/,466,"May 5th, 2015",Ross,2,
MyProtein Sponsorship,http://rosstraining.com/blog/2015/05/13/myprotein-sponsorship/,207,"May 13th, 2015",Ross,20,
Lessons Learned From a Bench Press Beast,http://rosstraining.com/blog/2015/05/07/lessons-learned-from-a-bench-press-beast/,1030,"May 7th, 2015",Ross,17,
Inside The Cuban Weight Room - Cary Kolat,http://rosstraining.com/blog/2015/05/21/inside-the-cuban-weight-room-cary-kolat/,533,"May 21st, 2015",Ross,8,
Prioritizing Your Health Is Not Selfish,http://rosstraining.com/blog/2015/05/29/prioritizing-your-health-is-not-selfish/,740,"May 29th, 2015",Ross,21,
Looks Can Be Deceiving,http://rosstraining.com/blog/2015/04/09/looks-can-be-deceiving/,843,"April 9th, 2015",Ross,18,
Girl Power - Part 2,http://rosstraining.com/blog/2015/04/15/girl-power-part-2/,548,"April 15th, 2015",Ross,6,
The Earth Is Our Gym 2.0,http://rosstraining.com/blog/2015/04/20/the-earth-is-our-gym-2-0/,499,"April 20th, 2015",Ross,5,
From Drugs To Fitness,http://rosstraining.com/blog/2015/04/23/from-drugs-to-fitness/,579,"April 23rd, 2015",Ross,3,
Buakaw Banchamek Training Highlights,http://rosstraining.com/blog/2015/04/06/buakaw-banchamek-training-highlights/,708,"April 6th, 2015",Ross,6,
Gymnastic Ring Training With Jordan Jovtchev,http://rosstraining.com/blog/2015/03/26/jordan-jovtchev-training/,324,"March 26th, 2015",Ross,6,
Improve Hand-Eye Coordination By Juggling,http://rosstraining.com/blog/2015/04/03/improve-hand-eye-coordination/,700,"April 3rd, 2015",Ross,8,
"A Blessing In ""The Size""",http://rosstraining.com/blog/2015/03/19/a-blessing-in-the-size/,666,"March 19th, 2015",Ross,4,
Arnold Schwarzenegger and Bodyweight Exercise,http://rosstraining.com/blog/2015/03/21/arnold-schwarzenegger-bodyweight-exercise/,454,"March 21st, 2015",Ross,11,
Physical Education Beyond School,http://rosstraining.com/blog/2015/03/24/physical-education-beyond-school/,668,"March 24th, 2015",Ross,17,
Joe Rogan on Health and Fitness,http://rosstraining.com/blog/2015/02/18/joe-rogan-on-health-and-fitness/,521,"February 18th, 2015",Ross,9,
Training Footage of Wrestling Legend Ivan Yarygin,http://rosstraining.com/blog/2015/03/09/training-footage-ivan-yarygin/,575,"March 9th, 2015",Ross,5,
