title,link,word_count,date,author,comments_count,notes
"Money Is a Tool, Not the Goal (Part 3)",https://www.thewildwong.com/money-is-a-tool-not-the-goal-iii/,1329,"Jul 28, 2016",Kristin Wong,17,
How to Work While You're Dealing With Depression,https://www.thewildwong.com/working-with-depression/,1019,"Aug 11, 2016",Kristin Wong,21,
Adventures in Planning a Budget Wedding,https://www.thewildwong.com/adventures-in-planning-a-budget-wedding/,1849,"Aug 25, 2016",Kristin Wong,6,
Shower Thoughts: How Autopilot Can Boost Creativity,https://www.thewildwong.com/shower-thoughts/,857,"Jun 30, 2016",Kristin Wong,24,
Money Is a Tool (Part 2): How to Set Your Goals,https://www.thewildwong.com/how-to-prioritize-your-goals/,1017,"Jul 14, 2016",Kristin Wong,7,
How I Turned My Side Gig Into a Profitable Freelance Business,https://www.thewildwong.com/how-to-start-freelancing/,1833,"Jun 23, 2016",Kristin Wong,15,
"The Power of An ""Internal Locus of Control""",https://www.thewildwong.com/the-power-of-an-internal-locus-of-control/,1075,"Aug 4, 2016",Kristin Wong,19,
Q&A With qplum: Investing Is for All of Us,https://www.thewildwong.com/how-to-start-investing-with-qplum/,1725,"Jul 19, 2016",Kristin Wong,3,
The Case for Solo Travel and How to Stay Safe Abroad,https://www.thewildwong.com/the-case-for-traveling-solo/,1239,"Aug 18, 2016",Kristin Wong,10,
Financial Independence: It's Not About the Money,https://www.thewildwong.com/financial-independence/,1031,"Jun 16, 2016",Kristin Wong,28,
